Date,Channel,Topic,Selected Title,Word Count,Audio Duration,Status,Video Size (MB),Folder Path
2026-09-24,History,Why Ancient Humans Never Had Crooked Teeth,"The 30,000-Year-Old Flaw in Your Jaw",177,1.1 min,✅ Final Video Ready,7.7,D:\youtube_automation_agent\channels\history\Why_Ancient_Humans_Never_Had_Crooked_Teeth_2026-09-24_222836
2026-09-23,History,Why Did Ancient People Sleep in Groups?,The Real Reason We Hate Sleeping Alone,1343,8.2 min,✅ Final Video Ready,93.8,D:\youtube_automation_agent\channels\history\Why_Did_Ancient_People_Sleep_in_Groups_2026-09-23_141804
2026-09-22,Money,How Do Insurance Companies Make Billions?,The Real Reason Your Claim Always Gets Denied,1358,11.0 min,✅ Final Video Ready,5.3,D:\youtube_automation_agent\channels\money\How_Do_Insurance_Companies_Make_Billions_2026-09-22_152158
2026-09-21,Science,Why Do Mosquitoes Find Some People More Attractive?,Why Do Mosquitoes Always Bite ME? (The Science),1278,9.5 min,✅ Final Video Ready,55.6,D:\youtube_automation_agent\channels\science\Why_Do_Mosquitoes_Find_Some_People_More_Attractive_2026-09-21_084113
2026-09-18,Science,Can Human Brain Cells Connect Inside a Mouse Brain?,What If Your Brain Cells Grew in a Mouse?,1476,9.9 min,✅ Final Video Ready,59.8,D:\youtube_automation_agent\channels\science\Can_Human_Brain_Cells_Connect_Inside_a_Mouse_Brain_2026-09-18_155036
2026-09-18,History,How Did Ancient Humans Survive Their First Winter?,How Did Ancient Humans Survive Their First Winter?,1537,10.2 min,✅ Final Video Ready,61.2,D:\youtube_automation_agent\channels\history\How_Did_Ancient_Humans_Survive_Their_First_Winter_2026-09-18_090311
2026-09-17,Science,How Can a New Brain Implant Translate Thoughts Into Speech?,The Brain Implant That Translates Thoughts to Speech,1600,10.3 min,✅ Final Video Ready,57.7,D:\youtube_automation_agent\channels\science\How_Can_a_New_Brain_Implant_Translate_Thoughts_Int_2026-09-17_085351
2026-09-17,Money,"Why Is Buy Now, Pay Later Becoming a Giant Business?",Why BNPL Is Exploding: The Hidden Truth.,1285,8.4 min,✅ Final Video Ready,44.7,D:\youtube_automation_agent\channels\money\Why_Is_Buy_Now_Pay_Later_Becoming_a_Giant_Business_2026-09-17_144156
2026-09-16,History,"How Did Humans Get High 25,000 Years Ago?",Shocking Proof: Humans Got High in the Ice Age!,1203,8.1 min,✅ Final Video Ready,45.9,D:\youtube_automation_agent\channels\history\How_Did_Humans_Get_High_25000_Years_Ago_2026-09-16_154725
2026-09-15,History,How Did Ancient People Survive Their First Night in a New Land?,How did ancient humans survive their first night?,1191,8.0 min,✅ Final Video Ready,49.7,D:\youtube_automation_agent\channels\history\How_Did_Ancient_People_Survive_Their_First_Night_i_2026-09-15_090836
